Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score (0-100),Promotion_Status
EMP1214,Sales,39,30147,7,48,65,No
EMP1215,HR,57,75508,13,56,48,No
EMP1216,R&D,59,77224,4,45,59,No
EMP1217,Operations,41,44643,9,49,95,Yes
EMP1218,HR,28,63967,10,54,74,No
EMP1219,HR,48,123850,9,48,75,Yes
EMP1220,HR,25,128535,7,30,81,No
EMP1221,IT,37,65733,15,48,75,Yes
EMP1222,Operations,57,109003,8,36,93,Yes
EMP1223,HR,56,59808,19,58,48,No
EMP1224,Sales,39,144222,11,52,61,No
EMP1225,Marketing,47,92288,5,40,40,No
EMP1226,HR,54,83959,2,34,44,No
EMP1227,IT,31,26849,10,59,48,No
EMP1228,R&D,32,93178,16,46,76,Yes
EMP1229,Operations,41,92136,23,40,77,Yes
EMP1230,IT,31,85740,13,53,58,No
EMP1231,HR,59,137255,8,55,47,No
EMP1232,Operations,48,111322,9,37,81,Yes
EMP1233,Marketing,25,69565,11,39,82,Yes
EMP1234,HR,37,45183,11,41,71,No
EMP1235,IT,40,140306,23,39,52,No
EMP1236,Finance,32,26132,16,42,59,No
EMP1237,Sales,26,63259,10,55,75,Yes
EMP1238,R&D,37,121612,24,47,82,Yes
EMP1239,IT,39,88668,12,39,83,Yes
EMP1240,Operations,46,63563,6,48,76,No
EMP1241,HR,52,117227,12,49,69,No
EMP1242,Sales,26,133835,10,46,49,No
EMP1243,HR,56,35931,18,49,70,No
EMP1244,Operations,58,98169,18,45,64,No
EMP1245,HR,31,75639,4,34,68,No
EMP1246,Finance,53,147536,9,32,63,No
EMP1247,Sales,44,128313,7,59,78,No
EMP1248,Sales,43,83901,18,56,60,No
EMP1249,Operations,35,125417,8,44,80,Yes
EMP1250,R&D,47,26044,11,55,48,No
EMP1251,Finance,31,71691,7,31,81,No
EMP1252,IT,37,125735,9,42,81,Yes
EMP1253,HR,34,49363,8,51,41,No
EMP1254,Marketing,47,71694,3,37,43,No
EMP1255,HR,38,26582,17,52,47,No
EMP1256,HR,48,104910,2,56,71,No
EMP1257,IT,24,91844,15,59,53,No
EMP1258,HR,27,46301,14,46,88,Yes
EMP1259,Finance,55,99329,18,33,52,No
EMP1260,Finance,29,26620,16,48,60,No
EMP1261,Sales,28,87224,20,51,63,No
EMP1262,Operations,37,81655,22,54,89,Yes
EMP1263,R&D,37,120419,4,38,57,No
EMP1264,Marketing,53,62534,20,52,84,Yes
EMP1265,HR,52,145050,6,44,79,No
EMP1266,HR,28,128496,6,57,65,No
EMP1267,IT,39,64390,11,38,71,No
EMP1268,Operations,58,96629,17,53,83,Yes
EMP1269,Finance,23,80856,24,50,96,Yes
EMP1270,Marketing,25,74252,3,38,94,No
EMP1271,Sales,33,80809,13,43,95,Yes
EMP1272,Finance,51,47259,22,52,92,Yes
EMP1273,Operations,36,45655,3,50,72,No
EMP1274,R&D,52,58005,16,45,91,Yes
EMP1275,Sales,42,56629,15,53,70,No
EMP1276,R&D,49,48610,11,52,57,No
EMP1277,IT,42,82184,18,54,74,No
EMP1278,IT,23,46602,15,55,51,No
EMP1279,HR,30,110945,5,46,90,No
EMP1280,R&D,41,36110,16,42,64,No
EMP1281,Operations,36,31073,16,38,84,Yes
EMP1282,Marketing,32,125846,17,44,70,No
EMP1283,Sales,22,105818,9,36,49,No
EMP1284,Finance,44,35195,23,30,86,Yes
EMP1285,Operations,55,26537,3,30,91,No
EMP1286,Operations,50,42138,20,34,73,No
EMP1287,IT,50,69328,13,53,90,Yes
EMP1288,R&D,55,71202,22,38,42,No
EMP1289,HR,39,65164,3,41,85,No
EMP1290,HR,28,114743,7,35,78,No
EMP1291,Sales,46,79659,6,57,47,No
EMP1292,IT,27,111155,9,42,71,No
EMP1293,Operations,50,74692,12,55,82,Yes
EMP1294,Marketing,27,145198,15,57,68,No
EMP1295,IT,23,49845,21,37,61,No
EMP1296,Sales,21,114846,20,44,59,No
EMP1297,Sales,56,128435,3,35,45,No
EMP1298,IT,45,55562,10,56,82,Yes
EMP1299,Sales,57,53036,1,35,88,No
EMP1300,IT,21,85752,19,33,68,No
EMP1301,Finance,35,99233,19,40,81,Yes
EMP1302,IT,57,108049,23,50,95,Yes
EMP1303,R&D,33,133575,23,59,56,No
EMP1304,IT,28,93681,13,47,70,No
EMP1305,Sales,25,52818,12,32,92,Yes
EMP1306,R&D,29,55544,1,32,73,No
EMP1307,Sales,21,87532,19,59,77,Yes
EMP1308,HR,56,103636,24,41,96,Yes
EMP1309,HR,55,82705,16,56,76,Yes
EMP1310,R&D,22,45104,23,50,43,No
EMP1311,Finance,43,149336,23,59,41,No
EMP1312,HR,29,94603,15,50,51,No
EMP1313,IT,54,127499,16,35,74,No
EMP1314,Sales,34,84025,11,50,45,No
EMP1315,HR,24,121264,24,57,95,Yes
EMP1316,HR,50,57317,6,35,85,No
EMP1317,Finance,51,56416,11,37,47,No
EMP1318,R&D,58,67012,3,44,60,No
EMP1319,R&D,31,130585,15,47,92,Yes
EMP1320,Operations,55,93045,1,49,97,No
EMP1321,Finance,28,46400,7,58,85,No
EMP1322,IT,23,73270,1,45,74,No
EMP1323,R&D,34,97069,17,35,87,Yes
EMP1324,Sales,33,144415,9,57,54,No
EMP1325,Finance,52,74833,23,50,46,No
EMP1326,HR,54,88644,13,46,54,No
EMP1327,Sales,39,105206,11,38,84,Yes
EMP1328,Sales,58,94468,20,48,45,No
EMP1329,HR,36,137899,6,47,86,No
EMP1330,Finance,22,84473,1,54,56,No
EMP1331,HR,37,70809,7,52,43,No
EMP1332,Operations,54,63328,12,34,61,No
EMP1333,Sales,36,61784,22,57,71,No
EMP1334,Marketing,58,48723,20,35,98,Yes
EMP1335,Marketing,22,85646,23,41,61,No
EMP1336,IT,22,91255,19,40,66,No
EMP1337,R&D,46,25074,17,45,85,Yes
EMP1338,HR,33,149173,4,49,54,No
EMP1339,HR,51,51498,3,46,99,No
EMP1340,IT,54,90522,1,49,83,No
EMP1341,IT,59,121881,18,38,90,Yes
EMP1342,IT,23,45541,21,30,61,No
EMP1343,Sales,28,70929,15,55,67,No
EMP1344,Operations,43,148199,8,32,81,Yes
EMP1345,HR,34,125453,1,50,77,No
EMP1346,Sales,47,51028,20,52,99,Yes
EMP1347,IT,49,54545,14,38,96,Yes
EMP1348,HR,59,104569,4,51,48,No
EMP1349,Sales,59,56673,5,48,73,No
EMP1350,Operations,21,55974,23,42,75,Yes
EMP1351,Sales,37,83899,13,52,48,No
EMP1352,Operations,50,48097,24,43,54,No
EMP1353,IT,33,127511,15,49,84,Yes
EMP1354,Operations,41,118144,6,48,59,No
EMP1355,HR,39,89824,1,59,47,No
EMP1356,IT,39,48525,23,52,97,Yes
EMP1357,HR,45,82804,19,56,67,No
EMP1358,Marketing,42,40043,13,56,90,Yes
EMP1359,Finance,51,66846,6,36,58,No
EMP1360,Operations,37,102261,15,33,96,Yes
EMP1361,Finance,43,127240,16,41,55,No
EMP1362,Finance,52,132611,24,52,50,No
EMP1363,Operations,30,75227,23,56,81,Yes
EMP1364,IT,30,78028,16,43,47,No
EMP1365,Marketing,56,62383,10,31,72,No
EMP1366,HR,28,54483,22,30,49,No
EMP1367,Sales,40,32265,9,57,57,No
EMP1368,HR,52,47763,9,47,74,No
EMP1369,Sales,34,100652,17,49,82,Yes
EMP1370,HR,48,40733,17,37,89,Yes
EMP1371,Operations,44,137196,17,32,42,No
EMP1372,Marketing,35,116038,24,55,79,Yes
EMP1373,Sales,42,62420,12,35,66,No
EMP1374,R&D,50,146480,13,51,98,Yes
EMP1375,IT,24,133777,12,42,67,No
EMP1376,HR,33,34247,14,38,85,Yes
EMP1377,HR,43,48840,10,38,45,No
EMP1378,Sales,28,90149,23,49,86,Yes
EMP1379,IT,38,46058,19,38,53,No
EMP1380,IT,32,140229,2,44,46,No
EMP1381,Operations,51,59929,4,42,49,No
EMP1382,R&D,34,109171,19,51,54,No
EMP1383,Operations,54,116164,7,45,70,No
EMP1384,Operations,38,56362,15,31,68,No
EMP1385,Operations,54,111489,15,55,81,Yes
EMP1386,Operations,31,109664,24,43,93,Yes
EMP1387,Operations,32,72356,6,56,56,No
EMP1388,Marketing,35,102597,3,35,98,No
EMP1389,IT,51,31041,6,31,90,No
EMP1390,Operations,49,103209,16,37,68,No
EMP1391,IT,46,86954,2,33,88,No
EMP1392,IT,38,86869,7,50,83,No
EMP1393,Finance,52,46059,11,53,54,No
EMP1394,Marketing,42,124864,7,43,65,No
EMP1395,Operations,58,69722,4,40,51,No
EMP1396,HR,37,42548,24,53,64,No
EMP1397,Sales,43,40078,20,57,80,Yes
EMP1398,R&D,44,30419,7,43,44,No
EMP1399,HR,28,60490,4,41,43,No
EMP1400,Marketing,26,101086,12,45,83,Yes
EMP1401,Sales,25,140158,5,35,87,No
EMP1402,Marketing,49,83760,23,49,80,Yes
EMP1403,IT,48,55337,19,30,96,Yes
EMP1404,Sales,31,26468,5,41,70,No
EMP1405,IT,21,49309,19,36,42,No
EMP1406,HR,39,91344,21,37,92,Yes
EMP1407,HR,29,115283,3,38,42,No
EMP1408,Sales,47,97255,11,31,65,No
EMP1409,Sales,54,106899,7,46,89,No
EMP1410,Operations,24,53718,17,49,56,No
EMP1411,Marketing,56,119337,9,42,99,Yes
EMP1412,Operations,38,133895,21,34,49,No
EMP1413,Marketing,35,62841,9,39,41,No
EMP1414,Operations,33,98548,10,41,63,No
EMP1415,IT,39,108565,13,46,50,No
EMP1416,Sales,26,71660,15,50,63,No
EMP1417,HR,32,131553,22,35,74,No
EMP1418,Marketing,57,75281,5,32,62,No
EMP1419,Marketing,37,138451,3,57,71,No
EMP1420,HR,43,141041,8,44,62,No
EMP1421,Operations,46,25767,20,36,73,No
EMP1422,Marketing,49,28895,10,59,80,Yes
EMP1423,R&D,53,83026,13,35,58,No
EMP1424,IT,47,143142,3,33,41,No
EMP1425,Sales,45,67968,22,48,99,Yes
EMP1426,HR,30,65097,8,34,90,Yes
EMP1427,Sales,43,40332,9,32,41,No
EMP1428,R&D,41,39621,22,55,54,No
EMP1429,Marketing,41,101870,21,54,95,Yes
EMP1430,Marketing,33,43174,12,38,60,No
EMP1431,R&D,57,149357,11,35,74,No
EMP1432,HR,53,124189,2,42,44,No
EMP1433,IT,44,65502,18,56,82,Yes
EMP1434,Finance,31,61674,9,51,66,No
EMP1435,HR,37,62260,2,57,63,No
EMP1436,Finance,24,67498,2,59,46,No
EMP1437,R&D,45,92609,3,49,45,No
EMP1438,Operations,50,74464,16,33,85,Yes
EMP1439,Finance,29,96805,19,31,72,No
EMP1440,IT,41,89919,4,55,97,No
EMP1441,Operations,40,79469,23,33,88,Yes
EMP1442,Finance,39,42194,18,37,56,No
EMP1443,R&D,39,51811,20,42,85,Yes
EMP1444,Operations,32,97377,18,39,81,Yes
EMP1445,R&D,57,68723,10,47,69,No
EMP1446,Finance,37,125336,11,38,47,No
EMP1447,R&D,57,100235,17,59,79,Yes
EMP1448,IT,59,136041,24,30,85,Yes
EMP1449,Finance,48,101298,23,42,46,No
EMP1450,Finance,55,84238,24,47,45,No
EMP1451,Finance,38,130433,20,44,43,No
EMP1452,HR,34,142393,16,31,40,No
EMP1453,HR,55,132092,20,40,54,No
EMP1454,HR,27,27147,13,58,70,No
EMP1455,IT,33,123919,2,43,64,No
EMP1456,Operations,38,124251,24,51,86,Yes
EMP1457,R&D,57,63445,2,44,72,No
EMP1458,Marketing,33,78803,14,43,91,Yes
EMP1459,Finance,56,86108,4,45,74,No
EMP1460,R&D,51,131170,17,52,94,Yes
EMP1461,Finance,22,27013,13,58,44,No
EMP1462,IT,36,110617,4,44,44,No
EMP1463,Finance,29,107410,3,48,75,No
EMP1464,HR,29,78502,12,56,56,No
EMP1465,Marketing,58,142116,22,38,92,Yes
EMP1466,Sales,31,62755,23,34,91,Yes
EMP1467,Finance,42,33733,8,34,53,No
EMP1468,R&D,53,34479,2,40,97,No
EMP1469,HR,56,100361,6,57,68,No
EMP1470,Sales,43,46304,22,49,47,No
EMP1471,Marketing,54,60694,10,54,73,No
EMP1472,Sales,29,149232,12,53,79,Yes
EMP1473,HR,44,130586,21,57,40,No
EMP1474,Operations,28,106171,10,33,68,No
EMP1475,Operations,27,139151,10,49,75,Yes
EMP1476,Sales,56,111296,23,47,90,Yes
EMP1477,IT,38,34490,3,54,76,No
EMP1478,R&D,23,46252,20,32,68,No
EMP1479,R&D,48,130290,10,33,44,No
EMP1480,Sales,26,31862,9,43,92,Yes
EMP1481,Finance,41,135463,20,36,71,No
EMP1482,Finance,48,94959,19,55,99,Yes
EMP1483,R&D,21,35450,14,37,91,Yes
EMP1484,R&D,56,81022,2,53,63,No
EMP1485,Operations,41,86991,5,45,58,No
EMP1486,IT,55,65927,20,49,51,No
EMP1487,HR,33,125377,8,44,91,Yes
EMP1488,Finance,30,113090,7,36,40,No
EMP1489,R&D,30,74853,6,55,46,No
EMP1490,Operations,33,56826,11,46,56,No
EMP1491,Marketing,57,67879,12,51,73,No
EMP1492,Operations,58,82265,18,51,82,Yes
EMP1493,Finance,44,97361,19,51,46,No
EMP1494,Finance,22,133956,10,41,56,No
EMP1495,Operations,42,102990,21,47,98,Yes
EMP1496,HR,37,114787,14,53,42,No
EMP1497,Sales,56,111184,3,43,68,No
EMP1498,Finance,34,65736,18,44,61,No
EMP1499,Operations,30,49530,24,44,77,Yes
EMP1500,R&D,55,103052,15,34,93,Yes
EMP1501,Operations,45,72058,6,45,82,No
EMP1502,IT,23,131080,10,34,68,No
EMP1503,Sales,58,99094,12,31,89,Yes
EMP1504,Marketing,37,99255,7,49,89,No
EMP1505,HR,32,29886,17,57,93,Yes
EMP1506,Marketing,44,118721,1,54,81,No
EMP1507,Sales,49,143623,18,38,44,No
EMP1508,Sales,45,62387,15,51,69,No
EMP1509,Sales,56,46575,19,56,62,No
EMP1510,Marketing,46,137260,1,38,94,No
EMP1511,R&D,58,133649,5,33,60,No
EMP1512,Sales,21,64643,15,44,95,Yes
EMP1513,Operations,40,35100,3,40,65,No
EMP1514,Marketing,48,85356,1,30,93,No
EMP1515,Sales,36,32856,8,47,86,Yes
EMP1516,Operations,37,63169,12,58,60,No
EMP1517,R&D,48,53804,22,30,59,No
EMP1518,IT,32,60790,19,37,62,No
EMP1519,R&D,47,55988,12,54,43,No
EMP1520,Sales,50,134979,13,45,60,No
EMP1521,Marketing,54,101448,1,55,60,No
EMP1522,Finance,57,63506,19,57,40,No
EMP1523,Sales,26,138430,6,51,54,No
EMP1524,Finance,27,112904,8,47,56,No
EMP1525,Operations,52,92306,4,51,90,No
EMP1526,IT,52,37305,5,38,53,No
EMP1527,HR,45,34969,22,41,98,Yes
EMP1528,R&D,53,37404,7,48,58,No
EMP1529,IT,27,33989,23,54,89,Yes
EMP1530,Sales,32,90305,4,47,99,No
EMP1531,Finance,36,60983,20,56,73,No
EMP1532,R&D,36,135284,4,34,45,No
EMP1533,Finance,56,64462,15,56,84,Yes
EMP1534,Marketing,33,44360,21,31,88,Yes
EMP1535,Finance,27,110657,5,36,45,No
EMP1536,Marketing,56,51287,24,56,92,Yes
EMP1537,Operations,29,90472,9,39,93,Yes
EMP1538,R&D,52,140440,2,44,44,No
EMP1539,R&D,31,133965,7,54,46,No
EMP1540,HR,28,86313,17,36,72,No
EMP1541,Sales,53,59160,16,57,52,No
EMP1542,Marketing,43,31789,17,34,90,Yes
EMP1543,HR,45,52181,20,44,93,Yes
EMP1544,Finance,28,39385,23,49,40,No
EMP1545,Finance,42,107597,2,57,52,No
EMP1546,HR,24,90641,11,49,82,Yes
EMP1547,R&D,23,69247,2,44,66,No
EMP1548,Finance,49,111673,1,39,46,No
EMP1549,Operations,49,125250,2,53,91,No
EMP1550,Operations,54,30544,23,55,42,No
EMP1551,HR,54,140783,9,58,97,Yes
EMP1552,Marketing,48,38275,22,55,64,No
EMP1553,Marketing,33,130289,2,43,72,No
EMP1554,HR,35,88248,15,55,79,Yes
EMP1555,Marketing,43,59550,10,55,56,No
EMP1556,R&D,46,78693,15,39,84,Yes
EMP1557,R&D,24,44641,10,46,53,No
EMP1558,Marketing,46,96749,23,50,76,Yes
EMP1559,Operations,29,149877,17,43,97,Yes
EMP1560,Marketing,25,105021,9,31,95,Yes
EMP1561,R&D,52,40605,18,45,93,Yes
EMP1562,IT,40,128173,4,42,62,No
EMP1563,Sales,31,75713,9,56,98,Yes
EMP1564,Finance,35,45390,16,38,63,No
EMP1565,IT,52,100403,4,36,68,No
EMP1566,Marketing,48,83466,16,45,77,Yes
EMP1567,Operations,42,28981,19,39,98,Yes
EMP1568,HR,37,34493,1,53,93,No
EMP1569,Marketing,46,96218,23,51,66,No
EMP1570,Operations,27,96318,6,38,77,No
EMP1571,Sales,46,140631,10,51,92,Yes
EMP1572,Marketing,45,144238,16,52,79,Yes
EMP1573,R&D,30,120335,4,36,84,No
EMP1574,HR,39,132441,22,45,89,Yes
EMP1575,Operations,31,41984,22,38,62,No
EMP1576,Operations,33,136316,13,56,70,No
EMP1577,Operations,28,47760,16,53,75,Yes
EMP1578,Sales,24,116529,20,58,56,No
EMP1579,Marketing,51,26524,6,46,76,No
EMP1580,Sales,48,143454,11,49,42,No
EMP1581,Finance,31,74402,24,36,75,Yes
EMP1582,Finance,21,116656,3,40,94,No
EMP1583,Marketing,58,90614,20,37,44,No
EMP1584,R&D,44,60891,10,36,85,Yes
EMP1585,Sales,51,116009,1,57,54,No
EMP1586,HR,46,64832,20,48,91,Yes
EMP1587,Operations,25,70836,11,49,88,Yes
EMP1588,Operations,40,98953,12,41,45,No
EMP1589,Marketing,31,38362,14,36,98,Yes
EMP1590,R&D,53,91745,8,37,49,No
EMP1591,Finance,58,62921,11,36,93,Yes
